iter	Passed	Remaining
212	106235	392520
213	106782	392202
214	107209	391440
215	107670	390803
216	108175	390328
217	108683	389863
218	109127	389173
219	109623	388664
220	110123	388171
221	110590	387565
222	111138	387239
223	111667	386849
224	112263	386684
225	112821	386389
226	113347	385980
227	113870	385561
228	114419	385227
229	114929	384763
230	115465	384383
231	115949	383833
232	116095	382168
233	116544	381507
234	117107	381220
235	117533	380490
236	118064	380097
237	118521	379466
238	119135	379339
239	119617	378787
240	120075	378161
241	120549	377589
242	121068	377156
243	121479	376386
244	122073	376184
245	122541	375595
246	123100	375282
247	123665	374984
248	124194	374579
249	124708	374125
250	125148	373452
251	125621	372875
252	126151	372470
253	126643	371953
254	127127	371411
255	127668	371037
256	128123	370410
257	128593	369830
258	129107	369375
259	129623	368927
260	130129	368451
261	130617	367921
262	131085	367338
263	131560	366774
264	132094	366375
265	132537	365722
266	133041	365241
267	133520	364690
268	133964	364045
269	134460	363540
270	134991	363132
271	135411	362424
272	135888	361872
273	136363	361314
274	136880	360866
275	137347	360289
276	137840	359777
277	138290	359156
278	138816	358733
279	139272	358130
280	139725	357518
281	140231	357042
282	140742	356581
283	141179	355931
284	141667	355410
285	142107	354772
286	142627	354332
287	143120	353825
288	143590	353263
289	144090	352774
290	144575	352247
291	145026	351640
292	145514	351121
293	146050	350719
294	146478	350059
295	146969	349548
296	147423	348950
297	147925	348469
298	148374	347860
299	148841	347297
300	149293	346698
301	149830	346297
302	150276	345686
303	150781	345211
304	151216	344574
305	151753	344172
306	152216	343603
307	152735	343158
308	153191	342573
309	153683	342070
310	154141	341490
311	154643	341009
312	155125	340482
313	155697	340153
314	156184	339639
315	156650	339077
316	157121	338530
317	157549	337890
318	158065	337437
319	158546	336910
320	159041	336415
321	159531	335907
322	160039	335438
323	160589	335056
324	161128	334651
325	161589	334084
326	162083	333585
327	162556	333041
328	163072	332589
329	163571	332100
330	164044	331558
331	164573	331130
332	165048	330593
333	165572	330153
334	166059	329640
335	166552	329139
336	167087	328720
337	167552	328165
338	168040	327653
339	168528	327142
340	169051	326700
341	169151	325444
342	169677	325009
343	170152	324475
344	170665	324017
345	171171	323544
346	171641	323003
347	172110	322459
348	172584	321926
349	173022	321326
350	173452	320713
351	173955	320236
352	174409	319667
353	174913	319192
354	175416	318714
355	175930	318256
356	176467	317839
357	176983	317383
358	177456	316851
359	177941	316340
360	178404	315790
361	178920	315334
362	179400	314815
363	179915	314357
364	180363	313782
365	180857	313289
366	181321	312742
367	181881	312360
368	182344	311814
369	182857	311351
370	183336	310831
371	183788	310266
372	184289	309783
373	184778	309281
374	185273	308788
375	185758	308279
376	186239	307765
377	186735	307274
378	187228	306777
379	187723	306286
380	188217	305791
381	188712	305298
382	189234	304849
383	189739	304373
384	190223	303863
385	190778	303466
386	191274	302975
387	191759	302466
388	192219	301918
389	192715	301426
390	193159	300854
391	193586	300257
392	194066	299740
393	194571	299265
394	195030	298716
395	195441	298097
396	195944	297618
397	196454	297150
398	196528	296023
399	197019	295528
400	197469	294973
401	197966	294487
402	198428	293950
403	198966	293525
404	199397	292942
405	199881	292437
406	200354	291916
407	200873	291463
408	201363	290967
409	201820	290425
410	202282	289889
411	202861	289520
412	203356	289032
413	203872	288572
414	204406	288139
415	204950	287719
416	205439	287221
417	205906	286692
418	206359	286144
419	206822	285612
420	207227	284998
421	207761	284564
422	208254	284073
423	208760	283598
424	209240	283089
425	209711	282569
426	210178	282042
427	210678	281560
428	211140	281029
429	211554	280432
430	212032	279921
431	212542	279453
432	213036	278964
433	213529	278474
434	214045	278012
435	214473	277438
436	214992	276980
437	215475	276477
438	215986	276010
439	216449	275480
440	216886	274919
441	217340	274380
442	217836	273893
443	218307	273376
444	218818	272908
445	219319	272427
446	219777	271894
447	220269	271403
448	220766	270918
449	221244	270410
450	221753	269939
451	222214	269410
452	222672	268877
453	223154	268375
454	223625	267858
455	224099	267346
456	224626	266897
457	225077	266357
458	225625	265933
459	226112	265435
460	226566	264901
461	227055	264406
462	227584	263959
463	228029	263413
464	228535	262938
465	229044	262466
466	229457	261886
467	229949	261395
468	230382	260837
469	230949	260432
470	231441	259941
471	231917	259433
472	232385	258916
473	232915	258467
474	233385	257952
475	233867	257450
476	234300	256895
477	234755	256365
478	235226	255851
479	235683	255323
480	236184	254843
481	236686	254364
482	237148	253842
483	237652	253365
484	238086	252813
485	238581	252326
486	239064	251827
487	239500	251279
488	239987	250784
489	240451	250265
490	240970	249804
491	241481	249334
492	241930	248800
493	242380	248267
494	242901	247809
495	243421	247347
496	243928	246873
497	244449	246413
498	244945	245927
499	245424	245424
500	245914	244932
501	246417	244453
502	246954	244009
503	247436	243508
504	247931	243021
505	248415	242523
506	248923	242049
507	249363	241509
508	249878	241042
509	250353	240535
510	250886	240084
511	251375	239592
512	251842	239078
513	252358	238610
514	252848	238119
515	253304	237595
516	253751	237063
517	254286	236614
518	254853	236193
519	255347	235705
520	255873	235246
521	256292	234689
522	256752	234170
523	257205	233644
524	257641	233104
525	258138	232618
526	258655	232152
527	259129	231645
528	259651	231182
529	260111	230665
530	260631	230199
531	261171	229752
532	261669	229268
533	262151	228768
534	262699	228327
535	263264	227900
536	263751	227405
537	264240	226913
538	264721	226413
539	265155	225873
540	265631	225369
541	266157	224908
542	266628	224400
543	267096	223889
544	267631	223435
545	268220	223025
546	268711	222534
547	269179	222023
548	269704	221560
549	270194	221068
550	270756	220634
551	271284	220172
552	271779	219683
553	272249	219175
554	272730	218676
555	273209	218174
556	273720	217699
557	274229	217221
558	274753	216755
559	275232	216254
560	275730	215767
561	276251	215299
562	276785	214840
563	277215	214301
564	277696	213801
565	278141	213274
566	278653	212798
567	279143	212306
568	279718	211877
569	280184	211366
570	280658	210862
571	281171	210387
572	281681	209909
573	282180	209423
574	282670	208930
575	283185	208456
576	283680	207966
577	284147	207456
578	284666	206985
579	285146	206485
580	285625	205984
581	286095	205477
582	286633	205018
583	287099	204508
584	287586	204014
585	288059	203509
586	288548	203016
587	289119	202580
588	289555	202049
589	290000	201525
590	290441	200999
591	290942	200514
592	291423	200015
593	291945	199545
594	292391	199022
595	292898	198541
596	293339	198016
597	293826	197522
598	294311	197026
599	294813	196542
600	295300	196048
601	295770	195542
602	296220	195023
603	296732	194546
604	297213	194048
605	297707	193559
606	298159	193042
607	298670	192563
608	299121	192047
609	299644	191575
610	300056	191034
611	300526	190529
612	301056	190063
613	301613	189613
614	302075	189104
615	302608	188638
616	303058	188122
617	303577	187648
618	304033	187135
619	304481	186617
620	304953	186115
621	305408	185602
622	305862	185088
623	306360	184601
624	306917	184150
625	307426	183669
626	307997	183226
627	308450	182712
628	308970	182238
629	309479	181758
630	309964	181263
631	310457	180772
632	310932	180271
633	311395	179764
634	311927	179296
635	312400	178794
636	312891	178304
637	313379	177811
638	313905	177339
639	314351	176822
640	314811	176313
641	315305	175824
642	315791	175330
643	316335	174868
644	316829	174378
645	317280	173865
646	317751	173363
647	318226	172863
648	318774	172403
649	319321	171942
650	319885	171490
651	320364	170992
652	320868	170507
653	321362	170017
654	321797	169496
655	322297	169009
656	322850	168550
657	323314	168044
658	323768	167534
659	324242	167034
660	324727	166539
661	325200	166038
662	325702	165552
663	326194	165062
664	326706	164581
665	327206	164094
666	327722	163615
667	328218	163126
668	328753	162656
669	329243	162164
670	329754	161683
671	330206	161172
672	330716	160689
673	331201	160195
674	331690	159702
675	332184	159212
676	332666	158716
677	333188	158240
678	333691	157754
679	334159	157251
680	334713	156789
681	335195	156293
682	335674	155796
683	336151	155298
684	336631	154801
685	337147	154321
686	337663	153840
687	338127	153336
688	338645	152857
689	339169	152380
690	339604	151863
691	340094	151371
692	340614	150892
693	341081	150390
694	341566	149896
695	342032	149393
696	342483	148884
697	342976	148393
698	343437	147889
699	343964	147413
700	344462	146924
701	344961	146436
702	345363	145907
703	345876	145425
704	346351	144927
705	346901	144460
706	347360	143955
707	347878	143475
708	348327	142966
709	348781	142459
710	349230	141951
711	349727	141462
712	350203	140965
713	350736	140491
714	351271	140017
715	351776	139531
716	352230	139025
717	352757	138548
718	353224	138047
719	353684	137543
720	354107	137026
721	354585	136530
722	355070	136036
723	355540	135537
724	356064	135058
725	356529	134557
726	357038	134073
727	357525	133581
728	357977	133075
729	358423	132567
730	358943	132087
731	359456	131604
732	360046	131149
733	360566	130668
734	361086	130187
735	361629	129714
736	362123	129224
737	362599	128727
738	363105	128241
739	363540	127730
740	363999	127227
741	364501	126740
742	364985	126246
743	365462	125750
744	365932	125251
745	366430	124763
746	366961	124285
747	367408	123779
748	367894	123286
749	368382	122794
750	368913	122316
751	369323	121798
752	369816	121307
753	370272	120805
754	370747	120308
755	371223	119813
756	371779	119342
757	372263	118849
758	372750	118356
759	373218	117858
760	373655	117350
761	374084	116839
762	374606	116358
763	375065	115857
764	375572	115371
765	376016	114866
766	376535	114384
767	376988	113881
768	377509	113400
769	377969	112899
770	378445	112404
771	378952	111918
772	379428	111423
773	379908	110929
774	380374	110431
775	380897	109949
776	381415	109466
777	381929	108982
778	382387	108482
779	382891	107994
780	383328	107489
781	383827	107000
782	384309	106507
783	384868	106035
784	385377	105549
785	385938	105077
786	386401	104578
787	386882	104085
788	387382	103596
789	387861	103102
790	388364	102614
791	388836	102118
792	389323	101626
793	389796	101131
794	390297	100642
795	390743	100140
796	391176	99634
797	391677	99146
798	392175	98657
799	392743	98185
800	393186	97682
801	393702	97198
802	394396	96757
803	394951	96281
804	395439	95789
805	395905	95292
806	396366	94794
807	396880	94308
808	397382	93819
809	397869	93327
810	398304	92823
811	398835	92341
812	399314	91847
813	399787	91352
814	400242	90852
815	400692	90352
816	401099	89842
817	401580	89349
818	402040	88851
819	402555	88365
820	403004	87865
821	403425	87359
822	403903	86866
823	404361	86368
824	404917	85891
825	405371	85392
826	405816	84892
827	406262	84392
828	406769	83905
829	407257	83414
830	407771	82928
831	408256	82436
832	408691	81934
833	409126	81432
834	409604	80939
835	410065	80443
836	410550	79951
837	411055	79464
838	411625	78988
839	412095	78494
840	412617	78009
841	413114	77520
842	413652	77038
843	414133	76545
844	414577	76046
845	415064	75555
846	415554	75064
847	415986	74563
848	416501	74077
849	416975	73583
850	417426	73086
851	417888	72590
852	418338	72093
853	418847	71606
854	419343	71116
855	419813	70622
856	420309	70133
857	420820	69646
858	421290	69152
859	421781	68662
860	422253	68168
861	422745	67678
862	423274	67194
863	423786	66707
864	424252	66212
865	424825	65735
866	425318	65244
867	425837	64758
868	426273	64259
869	426757	63768
870	427292	63284
871	427828	62800
872	428286	62305
873	428816	61820
874	429265	61323
875	429840	60844
876	430312	60351
877	430840	59866
878	431338	59376
879	431826	58885
880	432276	58389
881	432805	57903
882	433317	57415
883	433829	56927
884	434329	56438
885	434834	55949
886	435306	55456
887	435833	54970
888	436305	54476
889	436799	53986
890	437279	53494
891	437830	53010
892	438350	52523
893	438892	52038
894	439359	51544
895	439906	51060
896	440388	50568
897	440860	50075
898	441397	49589
899	441922	49102
900	442419	48612
901	442928	48123
902	443432	47633
903	443898	47139
904	444353	46644
905	444931	46162
906	445487	45678
907	445992	45188
908	446527	44701
909	446999	44208
910	447489	43717
911	448047	43232
912	448480	42735
913	448957	42243
914	449447	41751
915	450043	41270
916	450535	40779
917	450951	40281
918	451417	39787
919	451948	39299
920	452371	38802
921	452848	38310
922	453343	37819
923	453871	37331
924	454320	36836
925	454835	36347
926	455306	35854
927	455830	35366
928	456305	34873
929	456815	34383
930	457307	33892
931	457803	33401
932	458269	32908
933	458753	32417
934	459225	31924
935	459756	31436
936	460274	30946
937	460752	30454
938	461284	29966
939	461778	29475
940	462273	28984
941	462794	28494
942	463305	28004
943	463787	27512
944	464224	27018
945	464673	26524
946	465132	26031
947	465633	25541
948	466116	25049
949	466625	24559
950	467100	24067
951	467624	23577
952	468082	23084
953	468569	22593
954	469029	22100
955	469502	21608
956	469926	21114
957	470462	20625
958	470920	20133
959	471432	19643
960	471982	19154
961	472487	18663
962	473024	18174
963	473515	17683
964	473986	17191
965	474432	16698
966	474920	16207
967	475396	15715
968	475860	15223
969	476324	14731
970	476825	14240
971	477301	13749
972	477767	13257
973	478267	12766
974	478729	12275
975	479212	11783
976	479728	11293
977	480199	10802
978	480671	10310
979	481160	9819
980	481678	9329
981	482157	8837
982	482613	8346
983	483094	7855
984	483564	7363
985	483990	6872
986	484487	6381
987	484978	5890
988	485434	5399
989	485932	4908
990	486354	4416
991	486964	3927
992	487512	3436
993	488116	2946
994	488664	2455
995	489228	1964
996	489774	1473
997	490378	982
998	490934	491
999	491395	0
