iter	Logloss
0	0.6849640632
1	0.6767044578
2	0.6698675429
3	0.6619676143
4	0.6541377177
5	0.6469148156
6	0.6399273781
7	0.6328890028
8	0.6264426799
9	0.6204127679
10	0.6149655426
11	0.6104027234
12	0.6047523798
13	0.5995127939
14	0.5947405687
15	0.5902677735
16	0.5856407895
17	0.5810551768
18	0.5770225949
19	0.5732690608
20	0.5694228179
21	0.5659473994
22	0.5622191165
23	0.5590217618
24	0.5557066164
25	0.5528520617
26	0.5497665623
27	0.5467264771
28	0.5440707929
29	0.5415159606
30	0.5387971512
31	0.5359891197
32	0.5333955689
33	0.5310555896
34	0.5286806217
35	0.5265216291
36	0.5241953441
37	0.5221750319
38	0.5202012066
39	0.5183718688
40	0.5163411667
41	0.5148019619
42	0.5131766073
43	0.511503326
44	0.509598836
45	0.5081721181
46	0.5065110919
47	0.5050222294
48	0.5034798381
49	0.5020799587
50	0.5007011469
51	0.4995928595
52	0.4981986833
53	0.497032253
54	0.4956584932
55	0.4945318468
56	0.4936764568
57	0.493016171
58	0.4919791082
59	0.490929206
60	0.4900081787
61	0.489005174
62	0.4883665834
63	0.4877988874
64	0.4868609847
65	0.4860673612
66	0.4855277065
67	0.4851125337
68	0.4844380857
69	0.4837459064
70	0.4830699248
71	0.4827064027
72	0.481882555
73	0.48124861
74	0.4804152748
75	0.4797327813
76	0.4790599333
77	0.4783490628
78	0.4777366518
79	0.4775488777
80	0.4771069082
81	0.4766252388
82	0.4760118041
83	0.475549
84	0.4748804727
85	0.4742673781
86	0.4735786753
87	0.4728111686
88	0.4721530259
89	0.471692391
90	0.4711155117
91	0.4706069917
92	0.47014183
93	0.4695996441
94	0.4689345191
95	0.4685631832
96	0.4681998928
97	0.4676618259
98	0.467253217
99	0.4668628135
100	0.4664423043
101	0.4660150092
102	0.465446691
103	0.4651616732
104	0.4647775777
105	0.4644648603
106	0.4641041084
107	0.4637127844
108	0.4634132666
109	0.4629888927
110	0.4625780352
111	0.4622375726
112	0.4619332027
113	0.4616612933
114	0.4613834432
115	0.4611360711
116	0.4609086669
117	0.4606339546
118	0.4602749519
119	0.4598373499
120	0.4595426004
121	0.4593027556
122	0.4589455221
123	0.4586706568
124	0.4584807422
125	0.4582560943
126	0.458129162
127	0.4579913488
128	0.4577655583
129	0.4575390222
130	0.4572634027
131	0.4570098949
132	0.4566611771
133	0.4565002915
134	0.4561203682
135	0.4558350367
136	0.4555206559
137	0.4553713786
138	0.455260259
139	0.4551300916
140	0.4550091489
141	0.454797711
142	0.4545786048
143	0.4542989451
144	0.4542268685
145	0.4537701873
146	0.4534712187
147	0.4532230246
148	0.4530057495
149	0.4528475386
150	0.4525380486
151	0.4522933839
152	0.4521080101
153	0.4518574227
154	0.4516315551
155	0.4514022381
156	0.4511344533
157	0.45094561
158	0.4507330683
159	0.4505094913
160	0.4503874849
161	0.4501464094
162	0.4500420334
163	0.4498544075
164	0.4497160901
165	0.4494396928
166	0.4491448028
167	0.4489463582
168	0.4487176377
169	0.4485196052
170	0.4483134275
171	0.4481952994
172	0.4480522332
173	0.4478153628
174	0.4476156038
175	0.4474970492
176	0.4473854391
177	0.4471688994
178	0.4468901023
179	0.4466976541
180	0.4465512646
181	0.4463261138
182	0.4458958688
183	0.445686891
184	0.4453833209
185	0.4451735463
186	0.4449966673
187	0.4448130162
188	0.4446974049
189	0.4445613293
190	0.4443509517
191	0.4439613444
192	0.4438078942
193	0.4435275709
194	0.4432975178
195	0.4431627903
196	0.4429439746
197	0.4428333955
198	0.4426506979
199	0.4425005603
200	0.4421289789
201	0.4419649272
202	0.4416759123
203	0.4414293187
204	0.4413200046
